"","female","married","edu_high","inc_high","professional","attend_service","perceived_diversity","worried_corona","foreign_born","econ_bad","imm_contact","rally","age"
"93",1,0,1,0,0,5,NA,4,0,3,0,72.7272727272727,51
"94",0,0,1,0,0,2,62,1,0,3,1,90.9090909090909,66
"95",1,1,1,0,0,1,39,4,0,3,0.2,NA,40
"96",0,1,1,0,1,2,35,3,0,3,0.2,45.4545454545455,57
"97",1,1,1,0,0,2,13,2,0,2,0.6,54.5454545454545,43
"98",0,1,0,0,0,2,40,4,0,2,0,63.6363636363636,50
"99",1,0,1,0,0,1,20,2,0,2,0.4,0,56
"100",0,0,1,0,0,1,4,3,0,2,0.2,0,72
"101",1,0,1,0,0,1,10,3,0,1,0.4,0,45
"102",1,0,1,0,0,2,24,3,0,2,0.6,0,49
"103",1,1,0,1,0,5,12,2,0,2,0.6,9.09090909090909,54
"104",0,0,1,1,0,1,15,2,0,2,0.2,0,35
"105",0,0,0,0,0,1,25,3,0,2,0.8,0,68
"106",1,1,1,0,0,1,45,3,0,3,0.6,27.2727272727273,43
"107",0,0,1,1,0,2,16,3,0,3,0.8,0,48
"108",1,1,1,1,0,1,25,3,0,3,0.4,9.09090909090909,19
"109",1,0,0,0,0,NA,45,3,0,3,0.2,18.1818181818182,38
"110",1,0,1,0,0,1,30,3,0,2,0.6,0,25
"111",1,0,1,0,0,1,20,3,0,2,0.4,0,35
"112",0,1,1,1,0,2,20,3,0,3,0.2,0,72
"113",1,0,0,0,0,1,42,2,0,3,0.8,45.4545454545455,45
"114",1,0,1,0,0,1,30,3,0,2,0.2,0,21
"115",0,1,1,1,0,1,20,2,0,2,0.8,36.3636363636364,73
"116",1,1,1,0,1,NA,26,4,0,3,0,45.4545454545455,53
"117",1,0,1,0,1,3,11,4,0,2,0.8,0,54
"118",1,1,0,1,0,1,23,3,0,2,0.8,0,52
"119",1,1,1,0,0,2,32,3,0,1,0.2,9.09090909090909,49
"120",1,0,0,0,0,3,NA,3,0,3,1,36.3636363636364,61
"121",0,1,1,0,0,1,16,4,0,3,0,9.09090909090909,87
"122",1,0,0,0,0,1,39,3,0,3,0.2,0,55
"123",0,0,0,0,0,1,22,1,0,3,0.8,36.3636363636364,41
"124",0,0,0,0,0,1,7,4,0,3,0.4,0,33
"125",1,0,1,0,0,1,16,2,0,2,0.8,18.1818181818182,40
"126",1,0,0,0,0,2,5,3,0,1,0,0,39
"127",1,0,0,0,0,1,14,2,0,NA,0.4,63.6363636363636,31
"128",1,1,1,0,0,1,68,2,0,2,0.8,0,51
"129",1,0,1,1,0,2,30,3,0,3,0.2,27.2727272727273,50
"130",0,1,1,0,0,1,3,3,0,2,0.6,9.09090909090909,38
"131",1,0,0,0,0,1,34,4,0,2,0,54.5454545454545,21
"132",1,1,1,1,0,1,3,4,0,3,0,27.2727272727273,41
"133",0,0,1,0,0,3,NA,3,0,2,0.2,63.6363636363636,59
"134",0,1,1,1,0,2,25,3,0,2,0.4,0,60
"135",1,1,0,0,0,1,30,4,0,2,0.6,9.09090909090909,49
"136",1,0,0,0,0,1,38,4,0,3,0,54.5454545454545,19
"137",0,0,1,0,1,1,9,3,0,2,0.2,0,29
"138",1,0,1,0,0,3,14,4,0,3,0.2,63.6363636363636,46
"139",1,0,0,0,0,1,30,4,0,3,0.4,81.8181818181818,52
"140",1,1,1,1,0,2,30,4,0,2,0.4,63.6363636363636,72
"141",0,1,1,0,1,1,18,3,0,1,0.8,0,42
"142",1,0,1,0,1,1,13,2,0,2,0.4,9.09090909090909,66
"143",0,1,0,1,0,2,21,3,0,1,0.2,9.09090909090909,71
"144",1,0,1,0,0,1,42,1,0,1,0.8,0,21
"145",0,0,1,1,0,1,8,3,0,2,0.2,36.3636363636364,55
"146",0,1,1,1,0,1,14,2,0,3,0.4,9.09090909090909,66
"147",0,1,1,1,1,2,9,3,0,3,0.4,0,33
"148",1,0,1,0,0,2,44,3,0,2,0.2,36.3636363636364,54
"149",1,0,0,0,0,1,NA,4,0,3,0,27.2727272727273,63
"150",0,1,1,1,1,2,35,3,0,2,1,27.2727272727273,36
"151",0,1,0,1,0,1,20,2,0,2,0.6,0,67
"152",1,1,1,0,1,1,10,2,0,2,0.2,45.4545454545455,38
