"","female","married","worried_corona","inc_low","edu_high","foreign_born","inactive_worker","rent","age","far_right"
"137",1,0,3,0,1,0,0,0,50,27
"138",0,1,3,0,1,0,0,0,38,9
"139",1,0,4,0,0,0,1,0,21,55
"140",1,1,4,0,1,0,0,0,41,27
"141",0,0,3,0,1,0,0,0,59,64
"142",0,1,3,0,1,0,0,1,60,0
"143",1,1,4,1,0,0,0,0,49,9
"144",1,0,4,0,0,0,1,0,19,55
"145",0,0,3,0,1,0,0,0,29,0
"146",1,0,4,0,1,0,0,0,46,64
"147",1,0,4,0,0,0,0,1,52,82
"148",1,1,4,0,1,0,1,0,72,64
"149",0,1,3,0,1,0,0,0,42,0
"150",1,0,2,0,1,0,0,0,66,9
"151",0,1,3,0,0,0,1,0,71,9
"152",1,0,1,0,1,0,1,1,21,0
"153",0,0,3,0,1,0,0,0,55,36
"154",0,1,2,0,1,0,1,0,66,9
"155",0,1,3,0,1,0,0,0,33,0
"156",1,0,3,1,1,0,0,0,54,36
"157",0,0,4,0,1,0,0,0,32,45
"158",1,0,4,1,0,0,1,0,63,27
"159",0,1,3,0,1,0,0,0,36,27
"160",0,1,2,0,0,0,1,0,67,0
"161",1,1,2,0,1,0,0,0,38,45
"162",0,1,3,0,1,0,1,0,79,9
"163",0,1,2,0,1,0,0,1,30,18
"164",0,0,3,1,0,0,1,1,40,18
"165",0,0,1,1,1,0,1,1,70,82
"166",1,1,2,0,0,0,1,0,81,0
"167",1,1,4,0,0,0,0,1,55,27
"168",0,0,3,0,1,0,0,0,26,0
"169",1,1,4,0,1,0,0,0,43,0
"170",0,1,2,0,0,0,1,0,70,27
"171",1,0,4,0,1,0,1,0,44,0
"172",1,1,1,0,1,0,0,0,43,36
"173",0,1,3,0,0,0,1,1,69,27
"174",1,0,4,0,0,0,0,0,44,9
"175",0,1,2,0,0,0,1,0,72,0
"176",1,0,2,1,1,0,0,0,59,0
"177",0,1,2,0,0,0,1,0,66,9
"178",1,0,4,1,0,0,1,0,69,73
"179",0,1,3,0,1,0,0,0,38,45
"180",0,1,2,0,0,0,1,0,62,36
"181",0,0,4,1,1,0,0,0,36,64
"182",1,1,3,0,1,0,1,0,43,18
"183",0,0,3,1,0,0,1,0,33,9
"184",0,1,2,0,1,0,0,0,61,0
"185",1,1,1,0,1,0,0,0,52,18
"186",1,0,2,0,1,0,0,0,42,0
"187",1,0,4,0,1,0,0,0,36,82
"188",1,1,2,0,0,0,1,0,67,0
"189",1,0,1,0,1,0,0,0,29,73
"190",0,1,3,0,0,0,1,1,70,9
"191",1,1,2,0,0,0,1,0,64,0
"192",1,0,2,0,1,0,0,1,29,27
"193",1,1,3,1,0,0,1,1,59,18
"194",1,1,3,0,1,0,1,0,70,0
"195",1,1,4,0,1,0,0,0,55,36
"196",1,1,2,0,1,0,0,0,44,0
"197",1,0,2,0,1,0,0,0,57,0
"198",1,1,4,1,1,0,1,0,55,18
"199",1,1,3,1,1,0,0,0,55,27
"200",1,0,3,1,0,0,0,1,45,27
"201",1,0,3,1,1,0,1,0,79,36
"202",1,1,3,1,0,0,0,0,43,36
"203",0,1,3,0,0,0,1,0,71,9
"204",1,0,4,0,0,0,1,0,69,0
"205",1,1,3,0,0,0,1,0,69,64
"206",0,1,4,0,1,0,0,0,49,55
"207",0,0,3,1,0,0,1,0,70,73
"208",1,0,3,1,1,0,0,1,43,0
"209",0,1,3,0,0,0,1,1,75,64
"210",0,0,1,0,1,0,1,0,75,0
"211",1,0,2,0,1,0,1,0,28,45
"212",0,1,3,0,0,0,0,0,47,0
"213",1,1,3,0,1,0,0,1,27,45
"214",1,1,4,0,0,0,0,1,29,0
"215",0,1,4,0,1,0,1,0,76,45
"216",0,0,4,0,1,0,0,1,33,NA
"217",0,1,3,0,1,0,1,0,65,9
"218",1,0,4,1,0,0,1,1,67,9
"219",1,0,2,0,1,0,0,0,46,0
"220",0,0,2,0,1,0,0,0,50,27
"221",1,0,2,1,0,0,1,0,62,73
"222",1,0,4,1,0,0,1,1,65,45
"223",0,0,4,1,0,0,1,1,71,9
"224",0,0,2,1,1,0,1,1,79,NA
"225",0,0,2,0,1,0,0,1,28,0
"226",1,1,3,0,1,0,0,0,39,36
"227",1,1,4,0,0,0,1,0,64,0
"228",0,1,3,0,1,0,1,0,71,0
"229",1,1,3,0,1,0,0,0,46,0
"230",0,1,3,0,1,0,0,0,49,9
"231",0,1,4,0,1,0,0,0,47,64
"232",0,0,4,1,0,0,0,0,47,45
"233",0,1,3,0,0,0,0,0,62,18
"234",1,1,1,0,0,0,0,0,50,9
"235",0,1,4,0,0,0,1,1,77,9
"236",0,1,1,0,1,0,0,0,29,64
"237",0,0,4,0,1,0,1,0,64,82
"238",1,1,4,0,1,0,1,0,71,0
"239",0,0,3,0,1,0,1,1,65,0
"240",1,1,4,0,0,0,1,0,65,0
"241",0,0,3,0,0,0,1,0,20,18
"242",1,1,2,0,1,0,1,0,75,9
"243",0,0,2,1,0,0,1,0,67,82
"244",1,0,3,1,0,0,1,1,75,0
"245",0,1,4,0,1,0,1,0,74,0
"246",0,1,4,0,1,0,0,0,40,0
"247",1,1,2,0,1,0,0,0,43,0
"248",1,0,2,1,0,0,1,1,64,91
